train_no,station_code,prev_delay_bucket,predicted_delay_min
11013,AD,0-5,46.7
11013,AD,5-15,46.8
11013,AD,15-30,47.1
11013,AD,30-60,47.8
11013,AD,60-120,84.3
11013,AD,120+,123.3
11013,ATP,0-5,30.5
11013,ATP,5-15,30.6
11013,ATP,15-30,30.9
11013,ATP,30-60,35.9
11013,ATP,60-120,72.2
11013,ATP,120+,119.2
11013,BNC,0-5,41.7
11013,BNC,5-15,41.7
11013,BNC,15-30,42.1
11013,BNC,30-60,46.8
11013,BNC,60-120,89.9
11013,BNC,120+,139.0
11013,BNCE,0-5,23.1
11013,BNCE,5-15,23.2
11013,BNCE,15-30,23.5
11013,BNCE,30-60,28.3
11013,BNCE,60-120,61.2
11013,BNCE,120+,109.7
11013,CBE,0-5,11.4
11013,CBE,5-15,11.4
11013,CBE,15-30,11.6
11013,CBE,30-60,16.1
11013,CBE,60-120,45.3
11013,CBE,120+,83.5
11013,DMM,0-5,21.3
11013,DMM,5-15,21.3
11013,DMM,15-30,21.6
11013,DMM,30-60,26.6
11013,DMM,60-120,58.7
11013,DMM,120+,106.6
11013,DPJ,0-5,34.0
11013,DPJ,5-15,34.0
11013,DPJ,15-30,34.3
11013,DPJ,30-60,38.9
11013,DPJ,60-120,78.0
11013,DPJ,120+,127.8
11013,DUD,0-5,55.5
11013,DUD,5-15,55.7
11013,DUD,15-30,56.0
11013,DUD,30-60,59.4
11013,DUD,60-120,100.2
11013,DUD,120+,145.8
11013,ED,0-5,26.1
11013,ED,5-15,26.1
11013,ED,15-30,26.4
11013,ED,30-60,30.8
11013,ED,60-120,64.3
11013,ED,120+,111.9
11013,GBD,0-5,30.0
11013,GBD,5-15,30.0
11013,GBD,15-30,30.3
11013,GBD,30-60,34.4
11013,GBD,60-120,69.4
11013,GBD,120+,116.3
11013,GTL,0-5,33.0
11013,GTL,5-15,33.0
11013,GTL,15-30,33.3
11013,GTL,30-60,37.9
11013,GTL,60-120,76.1
11013,GTL,120+,125.9
11013,GUR,0-5,60.2
11013,GUR,5-15,60.4
11013,GUR,15-30,60.7
11013,GUR,30-60,64.5
